Model,RÂ² Score,RMSE,MAE,MSE,MAPE (%)
Linear Regression,0.1707,0.0326,0.0158,0.0011,0.32
Ridge Regression,0.1705,0.0326,0.0157,0.0011,0.32
Lasso Regression,0.0,0.0358,0.0123,0.0013,0.25
ElasticNet,0.0,0.0358,0.0123,0.0013,0.25
Decision Tree,1.0,0.0,0.0,0.0,0.0
Random Forest,0.9895,0.0037,0.0004,0.0,0.01
Gradient Boosting,1.0,0.0,0.0,0.0,0.0
XGBoost,1.0,0.0002,0.0001,0.0,0.0
LightGBM,0.7982,0.0161,0.005,0.0003,0.1
AdaBoost,0.9414,0.0087,0.0019,0.0001,0.04
Extra Trees,1.0,0.0,0.0,0.0,0.0
SVR,-3.4778,0.0758,0.0729,0.0057,1.46
KNN,0.9246,0.0098,0.0008,0.0001,0.02
